鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區汀州路二段91~120號,13.69,住,,,1090314,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030123,65.67,1,1,1,有,有,14200000,216233,,0.0,0,,RPSNMLOKMHPFFAA87CA
中正區,房地(土地+建物),臺北市中正區晉江街48巷5弄1~30號,14.66,住,,,1090209,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870209,58.21,2,1,1,有,有,15000000,257688,,0.0,0,含增建或未登記建物。;,RPVOMLOKMHPFFAA28CA
文山區,房地(土地+建物),臺北市文山區福興路78巷20弄1~30號,25.76,住,,,1090301,土地1建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,92.96,3,2,2,有,無,13500000,145224,,0.0,0,含增建或未登記建物。;,RPVPMLOKMHPFFAA38CA
中正區,房地(土地+建物),臺北市中正區廈門街61~90號,10.45,商,,,1090323,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071023,86.97,2,2,1,有,有,17880000,205588,,0.0,0,,RPXNMLPKMHPFFAA48CA
文山區,房地(土地+建物),臺北市文山區新光路一段121~150號,19.69,住,,,1090309,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700805,87.47,2,2,2,有,無,10000000,114325,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLSKMHPFFAA97CA
文山區,土地,景美段五小段541~570地號,49.5,商,,,1090219,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,66332000,1340040,,0.0,0,本次不動產交易之買賣契約書由買賣雙方自行於民國109年2月19日簽訂後交付地政士依買賣契約書內容申報。本買賣包含未登記之地上房屋，房屋部分不另作價。買賣雙方約定土地增值稅由買方負擔。,RPWNMLMLMHPFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷91~120號,23.74,住,,,1090226,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081016,120.93,2,2,1,有,有,15950000,161345,升降機械,31.99,1600000,"1買賣私契由賣方提供,地政士僅受託登記2含車位面積2.8737坪及車位公設面積6.8021坪合計9.68坪",RPOOMLOLMHPFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷91~120號,22.65,住,,,1090209,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081016,114.85,2,2,1,有,有,15350000,168356,升降機械,31.99,1400000,"1買賣私契由賣方提供,地政士僅受託登記2含車位面積2.8737坪及車位公設面積6.8021坪合計9.68坪",RPPOMLOLMHPFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區秀明路一段129巷61~90號,149.94,住,,,1090307,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070302,227.48000000000002,3,2,2,有,有,36500000,176660,坡道平面,35.02,2500000,,RPQOMLSLMHPFFAA28CA
萬華區,車位,臺北市萬華區東園街66巷24弄1~30號,1.4,住,,,1090328,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,1060515,36.73,0,0,0,有,有,2000000,,坡道平面,0.0,2000000,,RPQOMLNKMHPFFBA77CA
大同區,房地(土地+建物),臺北市大同區南京西路91~120號,3.64,商,,,1090310,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0831111,32.45,1,1,1,有,有,8000000,246533,,0.0,0,含增建或未登記建物。;,RPPNMLOKMHPFFBA67CA
大同區,房地(土地+建物),臺北市大同區太原路91~120號,4.76,商,,,1090304,土地2建物1車位0,一層，騎樓,五層,店面(店鋪),商業用,鋼筋混凝土造,,20.35,0,0,0,無,無,5200000,255528,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPTNMLOKMHPFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區西藏路271~300號,17.64,商,,,1090323,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680323,65.99,3,2,2,有,無,4700000,71223,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLOKMHPFFBA67CA
萬華區,房地(土地+建物)+車位,臺北市萬華區莒光路331~360號,30.97,住,,,1090317,土地2建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061227,259.43,4,2,2,有,有,45000000,199912,坡道平面,55.34,4200000,,RPSOMLPKMHPFFBA18CA
萬華區,車位,臺北市萬華區台北市萬華區康定路91~120號,0.37,商,,,1090311,土地0建物0車位1,,,其他,,,,33.7,0,0,0,有,有,2400000,,坡道平面,33.69,2400000,單獨車位交易。;,RPQNMLRKMHPFFBA08CA
大同區,房地(土地+建物)+車位,臺北市大同區長安西路301~330號,5.72,商,,,1090224,土地3建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,57.24,3,1,2,有,有,9330000,162969,升降機械,2.57,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKLMHPFFBA47CA
萬華區,土地,福星段二小段361~390地號,25.03,其他,,,1090318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2209478,88273,,0.0,0,包含公共設施保留地之交易。;,RPWOMLSLMHPFFBA98CA
中正區,土地,中正段一小段241~270地號,3.13,其他,,,1090323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,224450,71709,,0.0,0,包含公共設施保留地之交易。;,RPPPMLSLMHPFFBA38CA
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段95巷1~30號,20.05,商,,,1090303,土地1建物1車位1,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050622,281.92,0,0,0,無,無,67120000,275971,坡道平面,53.2,4000000,,RPVNMLPJNHPFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段372巷3弄31~60號,25.25,住,,,1090401,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),,加強磚造,0570501,82.46,2,1,1,有,無,7830000,94955,,0.0,0,,RPTQMLQJNHPFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區民和街81巷1~30號,13.01,住,,,1090229,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071105,83.35,2,2,1,有,有,13400000,160768,,0.0,0,,RPXNMLSJNHPFFBA88CA
內湖區,房地(土地+建物),臺北市內湖區康樂街72巷17弄1~30號,43.87,住,,,1090228,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761103,129.87,3,2,2,有,無,13300000,102410,,0.0,0,含增建或未登記建物。;,RPQNMLOKMHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路333巷61~90號,37.31,住,,,1090308,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980306,193.05,3,2,2,有,有,37080000,192075,升降平面,14.67,0,含增建或未登記建物。;,RPQOMLOKMHPFFCA97CA
內湖區,房地(土地+建物),臺北市內湖區成功路五段1~30號,26.01,商,,,1090305,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840725,147.79,3,2,2,有,有,22800000,154273,,0.0,0,,RPORMLOKMHPFFCA08CA
中山區,建物,臺北市中山區龍江路120巷1~30號,0.0,,,,1081210,土地0建物1車位0,六層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0880524,35.230000000000004,1,1,1,有,有,3900000,110701,,0.0,0,含增建或未登記建物。;,RPOQMLPKMHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區長安東路一段52巷1~30號,80.33,商,,,1090117,土地4建物1車位0,全,一層,透天厝,,木造,,40.59,0,0,0,無,無,41650000,1026115,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLQKMHPFFCA18CA
