鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,土地,尚武段481~510地號,108.0,住,,,1090318,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,41667,,0.0,0,,RPPQMLNKMHPFFAB87CA
南區,房地(土地+建物),臺中市南區忠明南路931~960號,36.83,住,,,1090313,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,172.61,4,2,3,有,無,7300000,42292,,0.0,0,,RPVQMLNKMHPFFAB48CA
西區,房地(土地+建物),臺中市西區繼光街8巷1~30號,20.93,住,,,1090315,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0761125,101.78999999999999,3,2,2,有,有,5100000,50103,,0.0,0,,RPUNMLOKMHPFFAB18CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.72,住,,,1090316,土地2建物1車位0,四層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,35.480000000000004,1,0,1,有,有,1480000,41714,,0.0,0,,RPQNMLPKMHPFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區工學路91~120號,14.83,住,,,1090224,土地2建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0841130,132.60000000000002,3,2,2,有,有,6660000,50226,坡道平面,0.0,0,,RPOOMLPKMHPFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區福田五街1~30號,23.37,住,,,1090306,土地2建物1車位1,十四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041221,180.13,3,2,2,有,有,13600000,75501,坡道平面,33.09,0,,RPROMLPKMHPFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區精誠18街31~60號,13.41,住,,,1090315,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831018,142.53,3,2,2,有,有,8160000,57251,坡道機械,0.0,0,,RPXOMLPKMHPFFAB68CA
西區,房地(土地+建物)+車位,臺中市西區樂群街211~240號,20.21,住,,,1090108,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960723,229.07999999999998,3,2,2,有,有,18000000,78575,坡道平面,22.48,0,,RPSOMLQKMHPFFAB28CA
中區,房地(土地+建物),臺中市中區中華路一段121~150號,1.65,商,,,1090325,土地1建物1車位0,十三層,十九層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850520,37.72,1,0,2,有,有,1650000,43743,,0.0,0,,RPPNMLKLMHPFFAB37CA
