鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區建國四路151~180號,14.35,商,,,1090327,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070830,171.69,3,2,2,有,有,11940000,69544,,0.0,0,,RPUNMLOKMHPFFAE48CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山一路161巷50弄31~60號,41.29,住,,,1090304,土地3建物4車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720321,95.42,3,2,2,有,無,2200000,23056,,0.0,0,,RPXNMLOKMHPFFAE78CA
前金區,車位,高雄市前金區光明街1~30號,0.57,商,,,1090320,土地0建物0車位1,,,其他,,,,8.24,0,0,0,有,有,1250000,,坡道機械,8.23,0,單獨車位交易。;,RPQNMLKLMHPFFAE77CA
前金區,房地(土地+建物)+車位,高雄市前金區光明街1~30號,7.42,商,,,1090320,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080715,103.57,2,2,2,有,有,10820000,104470,坡道機械,0.0,0,,RPUNMLLLMHPFFAE28CA
鼓山區,房地(土地+建物),高雄市鼓山區正德路121~150號,29.47,住,,,1090317,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800611,85.42999999999999,4,2,2,有,無,2700000,31605,,0.0,0,,RPXNMLLLMHPFFAE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路31~60號,11.12,住,,,1090307,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971021,85.44,2,1,1,有,有,5700000,66713,坡道機械,7.13,0,,RPPNMLNLMHPFFAE97CA
鹽埕區,房地(土地+建物),高雄市鹽埕區新樂街241~270號,29.55,住,,,1090326,土地2建物1車位0,一層，騎樓,五層,店面(店鋪),,鋼筋混凝土造,0680811,87.34,2,1,1,有,無,7500000,85871,,0.0,0,,RPTNMLSLMHPFFAE88CA
鹽埕區,房地(土地+建物),高雄市鹽埕區新樂街274巷1~30號,29.55,住,,,1090326,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680811,85.77,3,2,1,有,無,5500000,64125,,0.0,0,,SPTNMLSLMHPFFAE98CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,16.78,住,,,1090318,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,124.94,3,2,2,有,有,9000000,70202,坡道機械,6.71,700000,,RPQNMLTLMHPFFAE68CA
鼓山區,房地(土地+建物),高雄市鼓山區美術北一街31~60號,9.61,商,,,1090310,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941027,90.9,2,2,1,有,有,6000000,66007,,0.0,0,含裝潢,RPUNMLOJNHPFFAE48CA
新興區,房地(土地+建物)+車位,高雄市新興區林森一路31~60號,21.44,商,,,1090229,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970930,256.57,4,2,2,有,有,14298888,55731,坡道平面,33.39,0,,RPSOMLNKMHPFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區建軍路151~180號,59.96,住,,,1090305,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),,加強磚造,0660105,77.08,0,5,2,有,無,6700000,86923,,0.0,0,含增建或未登記建物。,RPRPMLNKMHPFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區福德三路31~60號,17.59,住,,,1090314,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0670914,77.06,4,2,2,有,無,3670000,47625,,0.0,0,,RPVNMLOKMHPFFBE68CA
苓雅區,房地(土地+建物),高雄市苓雅區建民路339巷1~30號,58.0,商,,,1090304,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700228,153.26,4,2,3,有,無,8500000,55461,,0.0,0,含增建或未登記建物。,RPPOMLOKMHPFFBE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區凱旋一路31~60號,27.5,住,,,1090223,土地1建物1車位2,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080903,268.13,3,2,2,有,有,20350000,76842,坡道平面,39.74,2800000,含裝潢,RPTNMLQKMHPFFBE68CA
苓雅區,房地(土地+建物),高雄市苓雅區文昌路57巷1~30號,31.21,住,,,1090323,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690421,78.37,3,2,2,有,無,3200000,40832,,0.0,0,含增建或未登記建物。,RPUPMLQKMHPFFBE98CA
新興區,房地(土地+建物),高雄市新興區林森一路241~270號,4.89,商,,,1090316,土地2建物1車位0,五層,十層,套房(1房1廳1衛),,鋼筋混凝土造,0670315,71.04,1,1,1,有,有,2950000,41526,,0.0,0,,RPTOMLRKMHPFFBE88CA
新興區,房地(土地+建物),高雄市新興區林森一路241~270號,3.53,商,,,1090316,土地2建物1車位0,五層,十層,套房(1房1廳1衛),,鋼筋混凝土造,0670315,55.63,1,1,1,有,有,2310000,41524,,0.0,0,,SPTOMLRKMHPFFBE98CA
苓雅區,房地(土地+建物),高雄市苓雅區文橫二路127巷31~60號,81.0,商,,,1090313,土地2建物1車位0,全,三層,透天厝,,鋼筋混凝土加強磚造,0540825,113.91,3,2,2,有,無,11100000,97445,,0.0,0,,RPWOMLRKMHPFFBE56CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路181~210號,26.55,商,,,1090307,土地2建物1車位0,三層,十二層,辦公商業大樓,,鋼筋混凝土造,0790117,320.83,0,0,0,無,有,11000000,34286,,0.0,0,,RPPOMLKLMHPFFBE87CA
苓雅區,車位,高雄市苓雅區英義街121巷1~30號,4.98,住,,,1090406,土地0建物0車位1,地下層,十一層,其他,,鋼筋混凝土造,0780512,25.15,0,0,0,有,無,900000,,坡道平面,25.15,900000,,RPUNMLMLMHPFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區建民路1~30號,6.11,商,,,1090305,土地1建物1車位0,五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960314,127.0,3,2,2,有,有,7880000,62047,,0.0,0,,RPRPMLNLMHPFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路200巷1弄1~30號,27.04,商,,,1090309,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660622,57.63,3,2,2,有,無,5500000,95436,,0.0,0,急買急賣。;,RPPNMLSLMHPFFBE58CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區安溪路31~60號,17.5,住,,,1090320,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080124,131.37,2,2,2,有,有,8060000,71150,坡道平面,36.36,1300000,,RPQNMLMJNHPFFBE97CA
新興區,房地(土地+建物)+車位,高雄市新興區七賢二路31~60號,10.15,商,,,1090302,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,177.13,2,2,2,有,有,12580000,71021,坡道平面,37.25,0,,RPVNMLSJNHPFFBE09CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區青年二路61~90號,11.01,商,,,1090118,土地1建物1車位1,一層，騎樓，夾層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0981005,146.13,0,0,0,無,有,20000000,136864,坡道平面,16.7,0,含增建或未登記建物。;,RPUNMLMKNHPFFBE48CA
小港區,房地(土地+建物),高雄市小港區孔宅五街1~30號,89.96,住,,,1090102,土地2建物1車位0,全,三層,透天厝,見其它登記事項,見其它登記事項,1080920,165.74,4,2,3,有,無,13030000,78617,,0.0,0,,RPTNMLNKMHPFFCE48CA
前鎮區,土地,仁愛段151~180地號,112.0,住,,,1090330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3655680,32640,,0.0,0,向政府機關承購之案件。;,RPXNMLNKMHPFFCE88CA
