鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
土城區,房地(土地+建物),新北市土城區青雲路151~180號,4.63,商,,,1090307,土地1建物1車位0,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,55.519999999999996,1,1,1,有,有,6800000,122478,,0.0,0,陽台及花台增建,RPQPMLNKMHPFFAF28CA
土城區,房地(土地+建物),新北市土城區興城路1~30號,3.62,商,,,1090301,土地2建物1車位0,五層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,34.43,1,1,1,有,有,4100000,119082,,0.0,0,,RPSPMLNKMHPFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區中山路二段60巷3弄1~30號,29.86,住,,,1090301,土地4建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870126,147.64,3,2,2,有,有,17250000,116830,坡道平面,36.38,0,含增建或未登記建物。;,RPQQMLNKMHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區中山路二段361~390號,3.28,商,,,1090325,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0860205,43.44,1,1,1,有,有,5000000,115101,,0.0,0,,RPWNMLOKMHPFFAF78CA
板橋區,房地(土地+建物),新北市板橋區龍泉街108巷1~30號,20.58,住,,,1090216,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840111,118.32,4,1,2,有,有,12760000,107843,,0.0,0,含增建或未登記建物。;,RPPNMLPKMHPFFAF18CA
板橋區,房地(土地+建物),新北市板橋區文化路一段221巷1~30號,37.25,住,,,1090320,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660520,87.63,3,2,2,有,無,11000000,125528,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVQMLPKMHPFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中二街31~60號,32.39,住,,,1090310,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000222,180.11,4,1,2,有,有,15800000,87724,坡道機械,26.82,0,,RPQPMLQKMHPFFAF58CA
板橋區,土地,環翠段91~120地號,563.86,住,,,1081101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,196144000,347859,,0.0,0,,RPUPMLQKMHPFFAF98CA
板橋區,土地,介壽段571~600地號,0.31,其他,,,1090331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000,0,,0.0,0,,RPURMLQKMHPFFAF56CA
板橋區,房地(土地+建物)+車位,新北市板橋區莊敬路61~90號,32.47,住,,,1090220,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961115,348.01,4,2,2,有,有,55000000,158041,坡道平面,44.02,0,,RPSQMLMLMHPFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路511~540號,11.13,住,,,1051030,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,88.62,0,0,0,無,有,9310000,139458,坡道平面,34.41,1750000,本案為105年10月之預售屋交易,RPPSMLOLMHPFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路511~540號,11.74,住,,,1060622,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,91.34,0,0,0,無,有,9460000,137186,坡道平面,34.41,1650000,本案為106年6月之預售屋交易,RPQSMLOLMHPFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路511~540號,11.74,住,,,1060611,土地1建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,91.34,0,0,0,無,有,9660000,138064,坡道平面,34.41,1800000,本案為106年6月之預售屋交易,RPSSMLOLMHPFFAF98CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路481~510號,11.69,住,,,1060723,土地1建物1車位1,三層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,91.34,0,0,0,無,有,9500000,136132,坡道平面,34.41,1750000,本案為106年7月之預售屋交易,RPTSMLOLMHPFFAF09CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路481~510號,26.16,住,,,1060322,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081226,164.20999999999998,0,0,0,無,有,18420000,129584,坡道平面,34.41,1600000,本案為106年3月之預售屋交易,RPURMLOLMHPFFAF09CA
