鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大同區,房地(土地+建物)+車位,臺北市大同區長安西路301~330號,5.72,商,,,1090224,土地3建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960913.0,57.24,3,1,2,有,有,9330000,162969.0,升降機械,2.57,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKLMHPFFBA47CA
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段95巷1~30號,20.05,商,,,1090303,土地1建物1車位1,六層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050622.0,281.92,0,0,0,無,無,67120000,275971.0,坡道平面,53.2,4000000,,RPVNMLPJNHPFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區民和街81巷1~30號,13.01,住,,,1090229,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071105.0,83.35,2,2,1,有,有,13400000,160768.0,,0.0,0,,RPXNMLSJNHPFFBA88CA
內湖區,房地(土地+建物),臺北市內湖區成功路五段1~30號,26.01,商,,,1090305,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840725.0,147.79,3,2,2,有,有,22800000,154273.0,,0.0,0,,RPORMLOKMHPFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段89巷27弄1~30號,28.6,住,,,1090211,土地1建物1車位2,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,980901.0,241.05,3,2,2,有,有,69980000,290313.0,坡道平面,59.36,0,,RPQPMLPKMHPFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,9.71,商,,,1090327,土地1建物1車位1,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322.0,159.54000000000005,3,2,2,有,有,28000000,175505.0,坡道平面,33.33,0,,RPRSMLNKNHPFFCA48CA
北投區,房地(土地+建物)+車位,臺北市北投區裕民六路121~150號,18.87,商,,,1090314,土地1建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305.0,245.32,3,2,2,有,有,48700000,198516.0,坡道機械,55.22,0,,RPROMLOKMHPFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區光明路181~210號,19.21,其他,,,1090203,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000520.0,183.11,3,2,2,有,有,35500000,193873.0,塔式車位,5.64,0,,RPTOMLRKMHPFFEA78CA
大安區,房地(土地+建物)+車位,臺北市大安區臥龍街301~330號,33.05,住,,,1090314,土地2建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990513.0,202.25,3,2,2,有,有,39900000,240638.0,坡道平面,46.82,2500000,,RPRNMLMLMHPFFFA28DA
