鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區中平路1巷2弄1~30號,22.14,住,,,1090304,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780512,118.74,3,2,2,有,有,5200000,43793,,0.0,0,1.增值稅由買方負擔。2.賣方原抵押權由買方承受。3.尾款尚未交付。,RPSOMLOKMHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段139巷151~180號,11.11,住,,,1090317,土地1建物1車位1,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970424,92.03,1,1,1,有,有,6000000,65196,坡道平面,31.88,0,,RPWPMLOKMHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德二街1~30號,35.56,住,,,1090324,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950810,207.65,4,2,2,有,有,15400000,74163,坡道平面,65.0,0,,RPPQMLOKMHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路181~210號,17.38,住,,,1090302,土地1建物1車位1,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920918,169.92,4,2,2,有,有,10900000,64148,坡道平面,25.03,0,,RPSRMLOKMHPFFAH98CA
桃園區,土地,同安段2071~2100地號,7.19,其他,,,1090324,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,455446,63344,,0.0,0,包含公共設施保留地之交易。;,RPURMLOKMHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區昆明路1~30號,14.6,住,,,1090309,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,103.21,2,2,1,有,有,5100000,49414,坡道平面,0.0,0,,RPWSMLOKMHPFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,32.88,工,,,1081105,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,266.6,0,0,0,無,有,16320000,61215,坡道平面,33.4,0,,RPXNMLPKMHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,32.88,工,,,1090201,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,266.96999999999997,0,0,0,無,有,16340000,61205,坡道平面,33.4,0,,RPOOMLPKMHPFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,33.47,工,,,1090201,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,270.08,0,0,0,無,有,16440000,60871,坡道平面,33.4,0,,RPROMLPKMHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,32.88,工,,,1090307,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,266.49,0,0,0,無,有,16310000,61203,坡道平面,33.4,0,,RPTOMLPKMHPFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,37.07,工,,,1090130,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,299.89,0,0,0,無,有,19220000,64090,坡道平面,66.8,0,,RPVOMLPKMHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中二路1~30號,21.96,住,,,1090327,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080520,168.47,3,2,2,有,有,10900000,72499,坡道平面,44.33,1900000,,RPWRMLPKMHPFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路631~660號,24.53,住,,,1090303,土地3建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811111,199.76,3,2,2,有,有,8300000,41550,坡道平面,0.0,0,,RPXRMLPKMHPFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連二街91~120號,31.06,住,,,1070606,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090205,199.72,4,2,2,有,有,10970000,62819,坡道平面,52.95,1750000,,RPPNMLQKMHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連二街91~120號,31.06,住,,,1070606,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090205,199.72,4,2,2,有,有,11000000,64046,坡道平面,52.95,1600000,,RPQNMLQKMHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連二街91~120號,26.15,住,,,1080409,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090205,174.18,3,2,2,有,有,9200000,61325,坡道平面,51.88,1700000,,RPRNMLQKMHPFFAH68CA
